candidate_id,objective,success_rate,avg_cost,avg_time,avg_science,avg_runtime,w_science,w_explore,w_battery,w_obstacle,w_path,w_recovery,best_objective_so_far,best_objective_success_rate,best_objective_avg_science,best_success_rate_so_far,best_success_objective,best_success_avg_science,best_success_w_science,best_success_w_explore,best_success_w_battery,best_success_w_obstacle,best_success_w_path,best_success_w_recovery
20,-1034.8202346999556,1.0,302.46666666666664,3.7999999999999994,7.733333333333333,1.6932863933422293,16.14880310328125,8.960912999234932,3.2482344022214527,77.51298113191919,4.558703250838834,12.81323365878769,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
21,-995.6974145557617,0.9666666666666667,314.62068965517244,3.9534482758620695,7.9655172413793105,3.041781456663739,16.36029531844986,8.607305832563434,0.16882609225878797,177.68682564439143,8.34822006297558,6.663234314121907,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
22,-976.9883156500981,1.0,426.26666666666665,5.343333333333334,3.566666666666667,2.141670203313697,2.397307346673656,3.3761517140362796,9.43480606873394,130.80073300518882,10.375812434867322,21.090568766855334,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
23,-923.8073569548555,0.9333333333333333,317.7857142857143,3.9875000000000003,4.75,4.251980989981288,7.27259204758588,9.717820827209607,9.628228219926902,112.94557395634104,9.94497011784771,9.02634929450309,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
24,-999.4348756166625,1.0,316.3,3.9683333333333337,4.3,1.5933582100008303,5.696809887549352,0.36886947354532795,6.134686906400979,175.66975580721538,1.029575024999787,8.359393927098344,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
25,-1034.3505646833617,1.0,307.8,3.866666666666666,7.8,1.8005537299943777,18.165317719333075,2.395618906669724,1.5344592337031087,172.36319006939075,19.713009082212015,7.261658145345012,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
26,-1020.9946434832768,1.0,298.4,3.748333333333333,6.166666666666667,1.4167379700113087,13.442710948117572,7.616196153287175,2.452611685524757,232.05408715296488,7.355662654385064,18.969174917807383,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
27,-1003.8659632666735,0.9666666666666667,323.2068965517241,4.055172413793104,8.827586206896552,2.940140679998634,12.670594215217895,5.357746840747585,0.9938687235386422,258.82562389730947,6.415601299434717,5.595555311995627,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
28,-946.2928140936253,0.9666666666666667,326.7586206896552,4.1051724137931025,2.5172413793103448,1.75304637667723,0.8155028310952783,5.908929431882418,6.807887182238596,54.14695723196404,10.24186116598562,6.794873255938139,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
29,-1020.9033690000481,1.0,315.23333333333335,3.958333333333333,6.433333333333334,1.58965953332372,12.903455808188998,1.7436642900499144,6.940283607214413,146.68383657513436,18.73459977473469,4.1256283243797975,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
30,-1006.1783840499602,1.0,318.8333333333333,4.001666666666667,5.033333333333333,1.6539898566746463,6.82132702100517,1.1347352124058907,9.254466820957772,269.33483834524526,5.158832554303112,19.79952138102537,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
31,-1017.3596048333,1.0,305.0,3.8350000000000004,5.966666666666667,1.5944123666733503,16.344444004024318,5.5520081159946235,5.343540725724464,110.46307272511292,1.8620553561179842,26.916472738599804,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
32,-1020.0570830166881,1.0,296.1666666666667,3.7166666666666672,6.1,1.5219167299956704,18.008361143266608,6.33101457273268,3.4563949313821367,137.3023936531652,14.519113577404788,26.913307798577314,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
33,-941.0148601095399,0.9333333333333333,304.7142857142857,3.8232142857142857,6.25,4.1047660733301505,17.741728485302346,7.798755458576238,6.456113296927449,71.03499124876221,3.2325742818922754,26.956625655812378,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
34,-1032.9118780833685,1.0,308.03333333333336,3.8649999999999998,7.633333333333334,1.7506243833263093,12.128581193191799,0.09197051616629648,1.104568274373718,215.87544227701395,0.10123167692437374,4.82424154252496,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
35,-980.3469827154789,0.9666666666666667,310.2068965517241,3.894827586206896,6.482758620689655,3.2463505833409725,10.974675787331723,6.918951976926932,6.554416469075745,106.06732736513995,14.243584426950717,7.117472624904002,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
36,-961.7686537505873,0.9666666666666667,336.0344827586207,4.248275862068965,4.862068965517241,3.133395686664153,6.5079939631853545,7.464914051180242,6.531365700567425,262.3058526235445,13.152257846006867,17.049258100064147,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
37,-924.2609683308999,0.9333333333333333,321.32142857142856,4.030357142857143,4.571428571428571,3.7248301433438127,1.8734953565618495,3.6771580305943354,2.7255034400490823,110.9974108447709,19.460211095048912,11.792931740002812,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
38,-975.6147935097088,0.9666666666666667,322.62068965517244,4.070689655172414,5.9655172413793105,2.8748573900122816,17.840931103542268,6.311386259972629,7.9686319050623196,175.65927327629802,11.538077692527182,14.775530814565917,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
39,-967.0598245293156,0.9666666666666667,324.1034482758621,4.091379310344828,5.206896551724138,3.0348167033322775,3.90485975596089,7.224521152615053,2.8796463881644727,56.07899160786346,12.909445918143357,5.313320382211469,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
