planner_type,candidate_id,objective,success_rate,avg_cost,avg_time,avg_science,avg_runtime,params,best_objective_so_far,best_success_rate_so_far
simulated_annealing,11,-898.5375393143601,0.9333333333333333,432.14285714285717,5.4142857142857155,3.2142857142857144,3.6620159466518087,"{'horizon': 12, 'iterations': 33, 'initial_temp': 1.4630213143862116, 'cooling': 0.8823251355871008}",-988.8563128333554,1.0
simulated_annealing,12,-958.2279628333899,1.0,489.4,6.13,3.933333333333333,5.207074099988676,"{'horizon': 14, 'iterations': 84, 'initial_temp': 4.539108810498586, 'cooling': 0.9193247674155778}",-988.8563128333554,1.0
simulated_annealing,13,-763.1607021948837,0.8666666666666667,414.3076923076923,5.200000000000001,2.769230769230769,16.913500586664306,"{'horizon': 5, 'iterations': 60, 'initial_temp': 6.284846545853807, 'cooling': 0.9557505974444713}",-988.8563128333554,1.0
simulated_annealing,14,-846.7307055094678,0.9333333333333333,689.4285714285714,8.885714285714286,4.857142857142857,11.469096993344525,"{'horizon': 8, 'iterations': 78, 'initial_temp': 16.85459810095511, 'cooling': 0.8758796237735738}",-988.8563128333554,1.0
simulated_annealing,15,-947.6594241332978,1.0,580.6666666666666,7.276666666666666,4.0,5.399448506673798,"{'horizon': 4, 'iterations': 68, 'initial_temp': 28.245469305361485, 'cooling': 0.9752758290598709}",-988.8563128333554,1.0
simulated_annealing,16,-879.6573697381543,0.9333333333333333,373.5,4.689285714285715,2.9285714285714284,8.18447843332154,"{'horizon': 10, 'iterations': 86, 'initial_temp': 10.434579592134666, 'cooling': 0.9044148205565274}",-988.8563128333554,1.0
simulated_annealing,17,-809.4843454231217,0.8666666666666667,353.46153846153845,4.430769230769231,3.0,9.481079633324407,"{'horizon': 4, 'iterations': 77, 'initial_temp': 18.015783804251598, 'cooling': 0.9851357430169794}",-988.8563128333554,1.0
simulated_annealing,18,-973.1322243333375,1.0,375.26666666666665,4.703333333333334,3.3333333333333335,3.5942217999991652,"{'horizon': 14, 'iterations': 65, 'initial_temp': 9.59193166541839, 'cooling': 0.8731373714688203}",-988.8563128333554,1.0
simulated_annealing,19,-958.2875080665154,1.0,391.3333333333333,4.913333333333333,2.6666666666666665,4.866498386696913,"{'horizon': 11, 'iterations': 95, 'initial_temp': 13.278642940484719, 'cooling': 0.9052834125445798}",-988.8563128333554,1.0
cross_entropy,0,-958.6390550333758,1.0,374.0,4.6899999999999995,3.0,5.854188993324836,"{'horizon': 13, 'num_samples': 32, 'num_elites': 26, 'iterations': 4, 'smoothing': 0.7241144063085703}",-958.6390550333758,1.0
cross_entropy,1,-471.68370486662724,0.6666666666666666,339.3,4.265,4.4,40.15759236000789,"{'horizon': 3, 'num_samples': 59, 'num_elites': 5, 'iterations': 6, 'smoothing': 0.8557805271080094}",-958.6390550333758,1.0
cross_entropy,2,-191.35893026671056,0.6666666666666666,827.2,11.13,3.8,83.89154727999122,"{'horizon': 9, 'num_samples': 65, 'num_elites': 30, 'iterations': 10, 'smoothing': 0.6739788760965348}",-958.6390550333758,1.0
cross_entropy,3,-465.6723197787492,0.7333333333333333,406.6363636363636,5.131818181818182,3.909090909090909,52.191293620007734,"{'horizon': 9, 'num_samples': 58, 'num_elites': 3, 'iterations': 8, 'smoothing': 0.7013047515981644}",-958.6390550333758,1.0
cross_entropy,4,-501.22033589999194,0.8,665.6666666666666,8.333333333333334,2.4166666666666665,49.60926615333495,"{'horizon': 14, 'num_samples': 61, 'num_elites': 5, 'iterations': 9, 'smoothing': 0.46483307579403854}",-958.6390550333758,1.0
cross_entropy,5,-461.70535236652313,0.6666666666666666,433.3,5.430000000000001,2.6,36.440262860028696,"{'horizon': 5, 'num_samples': 59, 'num_elites': 3, 'iterations': 6, 'smoothing': 0.8830272572334623}",-958.6390550333758,1.0
